,"Announced Date",Company,"Dist. Method","Dist. Date",Amount,"Dist. Amount"
1,2022/06/07,THEEB,"Account Transfer",2022/07/06,0.49,0
2,2022/06/06,"BUPA ARABIA","Account Transfer",N/A,4.50,877.5
3,2022/06/05,YANSAB,"Account Transfer",2022/06/29,1.50,0
4,2022/06/05,ALUJAIN,"Account Transfer",2022/07/05,1.50,0
5,2022/06/02,"SAUDI CEMENT","Account Transfer",2022/06/15,1.50,22.5
6,2022/06/02,YCC,"Account Transfer",2022/06/30,0.75,0
7,2022/06/02,ALHAMMADI,"Account Transfer",2022/06/19,0.40,0
8,2022/06/01,"ACWA POWER","Account Transfer",2022/07/21,0.77,0
9,2022/05/31,"BONYAN REIT","Account Transfer",N/A,0.33,0
10,2022/05/30,SHL,"Account Transfer",2022/06/14,0.77,0
11,2022/05/25,"JADWA REIT SAUDI","Account Transfer",N/A,0.20,0
12,2022/05/25,SADAFCO,"Account Transfer",N/A,3.00,0
13,2022/05/24,"EQUIPMENT HOUSE","Account Transfer",2022/07/25,1.00,0
14,2022/05/17,QACCO,"Account Transfer",2022/06/06,0.50,0
15,2022/05/16,"ALINMA RETAIL REIT","Account Transfer",2022/06/06,0.10,0
16,2022/05/15,"SAUDI ARAMCO","Account Transfer",2022/06/08,0.32,16
17,2022/05/15,NAYIFAT,"Account Transfer",2022/05/30,0.75,0
18,2022/05/12,"ALYAMAMAH STEEL","Account Transfer",2022/06/29,0.75,0
19,2022/05/10,ALOMRAN,"Account Transfer",N/A,0.75,124.5
20,2022/05/09,JARIR,"Account Transfer",2022/05/25,2.05,0
